timestep,temperature,pressure,battery,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
27,28.955898,1030.9478,97.63643,0.8271489,0.09751478,-0.051024973,-0.23657113,0.18628356,0.7226416,-0.33852863,0.48334533,-0.54257935,-0.81995296,1.0370634,-0.09588048,0.40254137,-0.60963315,0.9686747,-0.061567083
28,28.386024,991.3508,100.41511,0.66842306,0.10453281,-0.08886388,-0.32052398,0.1592097,0.62959385,-0.3785832,0.565185,-0.4604386,-0.84646213,1.1602012,-0.03338194,0.2907281,-0.644435,0.8559036,-0.11715534
29,29.141127,990.8394,99.57222,0.7039695,0.13622668,-0.12090248,-0.35734773,0.18058643,0.62270874,-0.39264756,0.5541983,-0.48761332,-0.85927325,1.1847847,-0.03662947,0.2963187,-0.6557839,0.864341,-0.14333853
30,29.101477,1020.902,97.12799,0.8052889,0.10916373,-0.08486414,-0.27434665,0.18221161,0.69512737,-0.3462559,0.49053597,-0.52906173,-0.819788,1.0671502,-0.08970636,0.37633044,-0.61989015,0.93729395,-0.08920175
31,28.944471,993.6957,95.57994,0.7226676,0.115882516,-0.16492128,-0.35345024,0.1504558,0.6231203,-0.35042512,0.51047033,-0.46889716,-0.799651,1.122922,-0.07752097,0.29978105,-0.63729274,0.83915764,-0.14915541
32,29.394703,1006.82947,98.4228,0.7692239,0.13436386,-0.10659695,-0.32454598,0.19218573,0.660108,-0.37688667,0.5207763,-0.5216506,-0.84894776,1.1357627,-0.06199521,0.34168738,-0.64206445,0.9101823,-0.121675365
33,29.166225,973.2959,97.53602,0.6610863,0.14360479,-0.19017312,-0.41719806,0.15815476,0.57356274,-0.38987523,0.5559312,-0.45002025,-0.8365419,1.2145039,-0.037706494,0.24759401,-0.66605026,0.7960636,-0.19011778
34,29.180143,985.6272,97.99724,0.6971417,0.13743451,-0.15578285,-0.37966347,0.1690096,0.6060184,-0.38432258,0.5446666,-0.4739765,-0.84067667,1.1840465,-0.04576233,0.2815804,-0.65639603,0.8375228,-0.16237079
35,29.69306,1039.5398,98.60832,0.88119376,0.1270239,-0.03644204,-0.23964542,0.22384426,0.7427894,-0.36044204,0.4792328,-0.5920104,-0.8544405,1.0545557,-0.091575146,0.43381616,-0.6179131,1.0180733,-0.06002356
36,29.676214,1000.3084,94.44702,0.7802615,0.14125487,-0.18404093,-0.36905652,0.17351976,0.63404304,-0.35560584,0.4874106,-0.5064408,-0.8064919,1.1222847,-0.09074348,0.32436565,-0.64078116,0.8667327,-0.16084959
37,29.573082,1003.0568,103.00319,0.74418473,0.15593126,-0.056034923,-0.32845312,0.22476873,0.6586093,-0.42441803,0.57177544,-0.5402948,-0.9159565,1.2061573,-0.014834434,0.33589736,-0.66289103,0.9365411,-0.1147117
38,29.534817,1007.9424,98.04982,0.7805128,0.13893744,-0.11278185,-0.3285001,0.19553754,0.66149664,-0.3766545,0.5149629,-0.52796334,-0.8482219,1.1343331,-0.0658178,0.34588498,-0.6423904,0.91383296,-0.12492128
39,29.010107,1024.8511,99.54372,0.8020426,0.108513266,-0.039857507,-0.25077504,0.19638738,0.7105193,-0.36140567,0.51050687,-0.5415887,-0.8481059,1.0788159,-0.07179874,0.387609,-0.62210524,0.96537083,-0.067686856
40,30.22603,983.7759,100.769905,0.72450626,0.19174173,-0.14794785,-0.42117065,0.22245029,0.6013748,-0.43874562,0.5712196,-0.5249624,-0.9108023,1.265851,-0.012627572,0.28854683,-0.6853583,0.8750101,-0.18384038
41,28.965923,1013.8112,102.262886,0.7537544,0.120323,-0.026251674,-0.27276343,0.20503381,0.6878452,-0.39254296,0.5527497,-0.5310235,-0.8848622,1.140004,-0.035755098,0.35872373,-0.6398741,0.9508594,-0.07794119
42,29.251705,990.75024,98.11706,0.71534574,0.1376073,-0.14416134,-0.36713988,0.17541865,0.6190198,-0.38321918,0.53898877,-0.48638082,-0.84352344,1.173422,-0.049421728,0.29630935,-0.65333784,0.8556305,-0.15302265
43,29.57871,971.07007,98.00716,0.67022264,0.16445538,-0.19918033,-0.44004673,0.17444894,0.5666614,-0.4071682,0.56197035,-0.46508664,-0.8562523,1.2441516,-0.028897166,0.24590026,-0.67692095,0.80164397,-0.20447373
44,29.275936,1011.6927,96.025185,0.79002154,0.120095015,-0.12578583,-0.31282723,0.1759781,0.6684282,-0.34897846,0.4904521,-0.51589215,-0.81250453,1.089327,-0.089722306,0.352331,-0.6280552,0.90467525,-0.11848061
45,30.866493,986.5497,97.14533,0.77801263,0.20941994,-0.2082498,-0.45239705,0.22441784,0.59798074,-0.42296928,0.5280025,-0.5422923,-0.882525,1.2444888,-0.045549452,0.30029786,-0.6830331,0.87034523,-0.21196759
46,30.448042,977.6261,98.17082,0.7276379,0.19913992,-0.20387137,-0.4575095,0.21045688,0.57930243,-0.42740446,0.55169195,-0.5132941,-0.884617,1.2642256,-0.029320389,0.27246225,-0.6869314,0.84165114,-0.21452442
47,30.761515,970.12476,98.038086,0.7191581,0.2175115,-0.23089156,-0.4937352,0.21625718,0.5581896,-0.44098282,0.55876565,-0.5126642,-0.89423513,1.2983081,-0.021327376,0.25506556,-0.69901204,0.82446665,-0.23988822
48,30.146011,1018.074,95.21333,0.8514887,0.15252951,-0.14447382,-0.33403292,0.20583424,0.6786805,-0.36095232,0.47042018,-0.56002504,-0.8280135,1.0989556,-0.09899852,0.37784648,-0.63522065,0.93691003,-0.13318557
49,29.205324,1012.9144,98.15936,0.78068566,0.12142384,-0.09148812,-0.2991721,0.18748567,0.67616224,-0.36446673,0.5109829,-0.5234111,-0.83828473,1.1067345,-0.071567744,0.3562225,-0.6322757,0.9227611,-0.10456322
50,30.150295,1009.4463,96.20452,0.8207474,0.1606935,-0.15060458,-0.3565997,0.20691815,0.6585089,-0.3765713,0.491682,-0.54896355,-0.84295624,1.1356738,-0.081121325,0.3549852,-0.6462916,0.9179746,-0.14725506
51,30.136873,1008.4264,96.08951,0.8175849,0.16047177,-0.15420783,-0.3594267,0.2051042,0.6557353,-0.3760267,0.49187678,-0.54617333,-0.8412089,1.1367974,-0.08123249,0.3520071,-0.6466331,0.91370964,-0.14953782
52,31.10923,1012.1013,95.11205,0.8760669,0.19876662,-0.18400851,-0.39362103,0.23593459,0.65819263,-0.39158314,0.47323644,-0.58917147,-0.8582878,1.1569296,-0.08877283,0.37106922,-0.6575996,0.93863624,-0.1736013
53,30.37145,983.10474,98.91781,0.7374909,0.19406429,-0.17895058,-0.43549192,0.21570125,0.5952259,-0.42732382,0.55256265,-0.522612,-0.8910132,1.2532303,-0.028323382,0.28706294,-0.68284106,0.86231816,-0.19748029
54,30.654818,986.24207,99.21155,0.7581341,0.20531788,-0.1748364,-0.43742645,0.2295421,0.60238796,-0.43519092,0.55037886,-0.54101276,-0.9032455,1.259541,-0.027241439,0.29858717,-0.6859288,0.88020706,-0.1975865
55,30.185602,1019.2364,100.97815,0.82987165,0.16769043,-0.06257555,-0.31342492,0.24383602,0.6929016,-0.41089356,0.52771497,-0.58615714,-0.90534925,1.1621984,-0.04657668,0.38482,-0.65269923,0.9841852,-0.10665381
56,29.764639,987.68304,95.50893,0.74069834,0.15588543,-0.20050186,-0.40689224,0.17561772,0.60332894,-0.37738413,0.5142212,-0.49215174,-0.8258119,1.1751829,-0.06774071,0.29149535,-0.65724695,0.83790433,-0.18546633
57,29.392063,1001.3036,97.85336,0.7549176,0.13639751,-0.12714764,-0.34270784,0.18519172,0.64482516,-0.37634224,0.5221,-0.50965184,-0.84240663,1.1454792,-0.06172487,0.32627815,-0.6453324,0.88898385,-0.13579655
58,30.00806,1019.49164,97.16691,0.8406347,0.15030745,-0.11053336,-0.31748432,0.21393469,0.6869061,-0.37285686,0.48912084,-0.56438744,-0.8492361,1.1108471,-0.083073854,0.3814971,-0.63749945,0.9528015,-0.1177324
59,30.667818,997.64124,102.37528,0.77869654,0.206341,-0.10495183,-0.39377853,0.25662038,0.63782454,-0.45369893,0.5679593,-0.5738258,-0.943308,1.262234,-0.009341091,0.331628,-0.6854776,0.93888956,-0.15997861
60,30.12762,985.8054,94.966064,0.75345314,0.17183068,-0.22156724,-0.42989063,0.18404582,0.59556276,-0.38426888,0.50963926,-0.5018226,-0.83046675,1.1902466,-0.06893566,0.28965822,-0.6637757,0.83594376,-0.20211166
61,29.991035,998.56714,98.38115,0.7704253,0.1659725,-0.14126462,-0.37492582,0.20818034,0.635764,-0.39970458,0.5286302,-0.53178835,-0.8688616,1.185312,-0.05087909,0.3250756,-0.66017854,0.8974412,-0.15627599
62,29.929502,1001.6389,95.305664,0.7914386,0.15372393,-0.17545271,-0.37321272,0.18870696,0.6378503,-0.3689708,0.49345788,-0.5226307,-0.8256045,1.1389747,-0.08277488,0.33100703,-0.64673984,0.8826456,-0.16146225
63,28.692324,994.1916,98.558784,0.6992023,0.1117132,-0.115935296,-0.3313626,0.16030511,0.6316084,-0.36875892,0.5413043,-0.4708981,-0.83101594,1.1441483,-0.051787317,0.30039796,-0.64155143,0.85739195,-0.12793593
64,29.650555,978.2055,97.18611,0.69896483,0.16103831,-0.19603813,-0.42463666,0.17623344,0.58295214,-0.39632928,0.54407054,-0.47736,-0.84626,1.2170221,-0.043290675,0.2655537,-0.6691073,0.81891906,-0.1949815
65,29.682024,985.5154,97.09986,0.72303635,0.15752563,-0.18124574,-0.40456414,0.18125764,0.6013575,-0.3905757,0.5336218,-0.49112433,-0.84468406,1.1959168,-0.051272005,0.28571746,-0.66268617,0.84132165,-0.18076359
66,29.41574,980.3652,97.446205,0.6940199,0.14989266,-0.18150783,-0.40725005,0.17078814,0.59021795,-0.3903286,0.54488266,-0.47240305,-0.84185827,1.2034726,-0.044311434,0.26926124,-0.6637337,0.8224016,-0.18260936
67,29.632372,1025.0836,98.74366,0.83382165,0.1339527,-0.06622535,-0.27952328,0.21374425,0.7063126,-0.37155908,0.49952996,-0.56471676,-0.8571396,1.0959638,-0.07610905,0.3939343,-0.6305304,0.97354084,-0.088339105
68,28.416485,984.5797,97.65279,0.66200703,0.10344756,-0.1436328,-0.350986,0.13899037,0.606594,-0.36102265,0.54555833,-0.4390936,-0.8121825,1.1502993,-0.051986992,0.27095687,-0.64265233,0.81530267,-0.14443631
69,29.43479,1013.7865,104.05299,0.76592374,0.14549491,-0.013275087,-0.28718913,0.23288563,0.68891394,-0.42101717,0.5692087,-0.55742055,-0.92338437,1.1804738,-0.016644597,0.3643634,-0.6538111,0.97419685,-0.083468944
70,29.376717,1026.2908,98.40292,0.82786083,0.121020764,-0.061716884,-0.2660334,0.20323727,0.71005124,-0.360559,0.4955113,-0.55488724,-0.84431183,1.0775462,-0.0818468,0.39448577,-0.62380046,0.9691923,-0.08001958
71,29.32794,997.2222,97.97727,0.739079,0.13648346,-0.13317284,-0.35166064,0.18119761,0.6349397,-0.37891835,0.5288952,-0.5003289,-0.8428177,1.1561083,-0.05681643,0.3146036,-0.6483205,0.8760359,-0.14208356
72,28.406607,998.84656,95.527626,0.7149869,0.0886302,-0.14018959,-0.31513935,0.13407251,0.63899934,-0.3309198,0.5054394,-0.4553755,-0.78094965,1.0839841,-0.086065084,0.30844477,-0.62279105,0.8429397,-0.12321587
73,28.797634,1050.1122,92.81513,0.9011228,0.06636199,-0.0700959,-0.18860377,0.16226426,0.7630155,-0.27709115,0.40992373,-0.5507704,-0.7473823,0.9195701,-0.16064298,0.45029607,-0.5742782,0.98805195,-0.037543565
74,29.038,971.32635,95.45804,0.65914494,0.13408992,-0.22036815,-0.42431998,0.13945052,0.56505036,-0.36996222,0.53773814,-0.43315542,-0.80536646,1.1913497,-0.055653244,0.23972937,-0.65913916,0.7718234,-0.19973451
75,29.15701,1005.0404,94.243286,0.77283,0.11472604,-0.1628516,-0.33328944,0.15660521,0.6484512,-0.33564728,0.4812973,-0.49237108,-0.78645784,1.0836774,-0.100168526,0.331984,-0.62652904,0.8685093,-0.13698852
76,28.016117,1017.4436,94.86503,0.75762343,0.057770014,-0.09680107,-0.24524075,0.12731168,0.6873752,-0.2994119,0.47621107,-0.46912926,-0.7561998,1.0049963,-0.11299318,0.35481787,-0.5966787,0.88650024,-0.075634845
77,28.429104,1004.76495,94.96919,0.73662525,0.08445448,-0.13493755,-0.30035782,0.13499257,0.6529464,-0.3219598,0.49199483,-0.4644928,-0.7731116,1.0612626,-0.09706724,0.32445112,-0.6160269,0.8573805,-0.113754995
78,29.395752,1016.6278,92.27971,0.827809,0.113034725,-0.16961369,-0.3155886,0.15993425,0.6730242,-0.3159871,0.44529456,-0.51491594,-0.76574665,1.0377864,-0.12872475,0.36473587,-0.6140704,0.8945064,-0.1277903
79,28.16919,990.662,97.76583,0.6691594,0.088869214,-0.12182295,-0.32189196,0.13456634,0.6236881,-0.35025036,0.5398507,-0.4399109,-0.8046729,1.1230222,-0.0583809,0.2851339,-0.6329966,0.8294248,-0.124042004
80,27.496082,1001.6961,97.04932,0.6765737,0.050219476,-0.089395106,-0.26245102,0.11279693,0.6540289,-0.31652755,0.52097136,-0.42848355,-0.7717541,1.0534693,-0.07971573,0.3080825,-0.6086183,0.8433549,-0.08470448
81,28.291958,979.94684,95.388466,0.65297747,0.09534925,-0.18263233,-0.36678737,0.117641,0.590865,-0.3417458,0.5288844,-0.41699523,-0.7791779,1.1330357,-0.068960935,0.25576687,-0.6376778,0.7816076,-0.16061503
82,27.416212,990.97986,99.37198,0.6295547,0.0592677,-0.07966012,-0.28323737,0.11789885,0.6315815,-0.3429914,0.5588844,-0.41545856,-0.8020703,1.107699,-0.047860026,0.2794897,-0.62422544,0.8261164,-0.09499377
83,27.768312,978.8277,97.69604,0.61579335,0.07854736,-0.13981906,-0.33999068,0.112647206,0.59528255,-0.34805673,0.55602777,-0.402282,-0.7933906,1.1397341,-0.0492723,0.24889821,-0.6364938,0.7840593,-0.13805051
84,28.572083,1024.936,92.97322,0.81371856,0.07293096,-0.12000796,-0.25314075,0.13991621,0.6999544,-0.29245937,0.44495907,-0.49795818,-0.74726665,0.985639,-0.13506833,0.37960613,-0.59387076,0.9073367,-0.083796114
85,27.005852,1029.6959,94.4826,0.7523812,0.004229367,-0.04838246,-0.16655613,0.09633532,0.72324395,-0.25824785,0.46052667,-0.44713593,-0.71680766,0.92108035,-0.1342648,0.3779403,-0.56619275,0.8993774,-0.022693872
86,27.369703,1019.8593,94.015305,0.740556,0.025509924,-0.08669922,-0.2129839,0.10043219,0.69522005,-0.27221262,0.4669929,-0.44320762,-0.7240462,0.9604325,-0.1267514,0.3544862,-0.58028364,0.8736455,-0.055896267
87,26.953613,939.2427,93.78169,0.47757995,0.058283746,-0.26457688,-0.4352545,0.03518629,0.49024135,-0.3235212,0.5703864,-0.28392753,-0.7235598,1.1768641,-0.050070077,0.13072497,-0.64619994,0.6162821,-0.2159178
88,26.705042,979.33453,98.81968,0.5653847,0.03390044,-0.09607509,-0.28897914,0.082023054,0.60430527,-0.32787806,0.57112694,-0.36339724,-0.7745555,1.1050323,-0.0450705,0.24040774,-0.6205135,0.77105564,-0.10190985
89,25.930174,995.6099,95.89766,0.59459984,-0.018036187,-0.079725,-0.21680102,0.046078056,0.64422905,-0.26807314,0.5233317,-0.3483274,-0.7082002,0.9908304,-0.092642725,0.27531168,-0.5826769,0.78243035,-0.058219366
90,27.310259,975.6535,97.823715,0.5853971,0.06061721,-0.1337266,-0.32925734,0.09517613,0.589765,-0.3390159,0.5632692,-0.37820494,-0.781222,1.1307435,-0.047350377,0.23579228,-0.6316238,0.7654273,-0.13122633
91,26.400358,984.8305,96.43506,0.5798832,0.011024952,-0.108918905,-0.26732504,0.05964908,0.6152338,-0.29441947,0.5408639,-0.35107732,-0.7322838,1.0488619,-0.07430899,0.2509396,-0.60264236,0.76357543,-0.092044696
92,26.347929,992.54047,95.63753,0.60480785,0.0017940104,-0.10098091,-0.24477515,0.0574961,0.63368595,-0.27987647,0.5229607,-0.35928786,-0.71856207,1.0149467,-0.08972791,0.27093983,-0.5921539,0.7801056,-0.07770781
93,25.889654,1006.9309,96.72055,0.62349576,-0.025080115,-0.04124242,-0.17873748,0.056628972,0.675094,-0.26494735,0.51728874,-0.3696639,-0.7155994,0.9650699,-0.09662512,0.3062221,-0.57409775,0.8223147,-0.029488496
94,26.759634,979.82733,99.47894,0.56620914,0.03761992,-0.0871512,-0.2877115,0.08837327,0.6065955,-0.3346876,0.5770137,-0.3690943,-0.7849118,1.1133667,-0.0391694,0.24268118,-0.62307596,0.77864176,-0.09953317
95,24.77559,1001.6999,96.4831,0.5597132,-0.07163319,-0.028333724,-0.14703208,0.012236863,0.6669675,-0.2362241,0.52608246,-0.31332648,-0.678263,0.92971075,-0.099527895,0.28079897,-0.55827034,0.78054,-0.010011837
96,25.770683,992.28625,94.91664,0.58203757,-0.025372475,-0.096971184,-0.22300807,0.03226456,0.6345848,-0.25785512,0.51823103,-0.33206713,-0.69082224,0.98266816,-0.09923783,0.2641003,-0.57984614,0.76153,-0.06502469
97,25.219402,993.00555,96.88449,0.55082965,-0.04541281,-0.053963006,-0.1906714,0.025286645,0.6431835,-0.25898737,0.5396366,-0.31810084,-0.6993049,0.9789418,-0.084691614,0.26176214,-0.575428,0.76648515,-0.03926587
98,25.494701,990.9739,96.931274,0.5565114,-0.03180328,-0.06495413,-0.20841876,0.034163922,0.63664603,-0.26865715,0.5416353,-0.32615805,-0.7090236,0.9973191,-0.080741316,0.25898612,-0.5823568,0.7665484,-0.051174007
99,25.311668,1021.2877,96.36896,0.6435163,-0.06075573,0.0014859438,-0.11233373,0.042541534,0.71418595,-0.23433907,0.49746883,-0.36942273,-0.68986857,0.8939636,-0.11741313,0.33937642,-0.5494948,0.8511742,0.015785664
100,24.585503,993.74036,96.54464,0.5268079,-0.07478744,-0.040943027,-0.16227816,0.001006633,0.647667,-0.23789008,0.5377534,-0.29174286,-0.6746248,0.94560456,-0.09197131,0.2572799,-0.56237876,0.7525482,-0.021215424
101,25.146214,1004.6299,95.29849,0.59045583,-0.0600127,-0.047481477,-0.15818042,0.019862056,0.67021215,-0.23391126,0.50869805,-0.32922918,-0.6737245,0.92373896,-0.11145893,0.29174724,-0.5585323,0.7886819,-0.019492403
102,25.316856,993.20825,96.06766,0.55954057,-0.043233395,-0.06733498,-0.19694246,0.023801327,0.64157796,-0.25447237,0.5306307,-0.31932047,-0.69153297,0.97334695,-0.091937095,0.2627957,-0.5744548,0.7631314,-0.04516992
103,24.430265,1000.7739,97.06761,0.53899205,-0.084894,-0.013575673,-0.1329854,0.0029954612,0.66753805,-0.23244397,0.5346403,-0.29964417,-0.67526567,0.9241207,-0.09503335,0.2752022,-0.55476177,0.7746126,0.0003747493
104,24.775698,1021.5548,97.411545,0.6159198,-0.08209953,0.03019017,-0.08502747,0.0300757,0.7197093,-0.22826995,0.5099348,-0.3516968,-0.6866754,0.8818022,-0.1108976,0.33541036,-0.5429024,0.8481956,0.036108837
105,24.228,1018.9607,94.29664,0.5984849,-0.11233303,-0.0052420497,-0.079316795,-0.010424465,0.7097038,-0.18827794,0.48362568,-0.31228313,-0.6286363,0.83070445,-0.1400634,0.32107398,-0.525864,0.8052961,0.032534644
106,24.219103,1002.68335,95.02198,0.54508245,-0.100492895,-0.032309294,-0.12490563,-0.01611042,0.66946226,-0.20739044,0.512101,-0.2862506,-0.64113855,0.8863488,-0.117025495,0.2770964,-0.54290545,0.7606944,0.0014699996
107,24.19388,988.898,98.75737,0.48451477,-0.08358535,-0.011346877,-0.1525407,-0.0021291375,0.64166963,-0.2500372,0.568206,-0.2756257,-0.69248307,0.96787655,-0.06870973,0.24152592,-0.5666803,0.74574745,-0.01069814
108,23.27856,980.9851,96.937675,0.42866987,-0.1235009,-0.031654835,-0.14254414,-0.05090949,0.6224999,-0.2153181,0.5634855,-0.21668383,-0.6410083,0.93114924,-0.08250207,0.20983241,-0.55197054,0.6882841,-0.009454668
109,23.978788,1018.0004,95.88589,0.57719314,-0.11884907,0.020985246,-0.06622732,-0.010004282,0.7116848,-0.19586553,0.50211763,-0.30644494,-0.641984,0.8406822,-0.12571648,0.31693166,-0.5272129,0.8088056,0.044513226
110,23.44917,987.45624,94.79201,0.4659066,-0.12537055,-0.050976396,-0.13769823,-0.054250717,0.6339475,-0.19631322,0.5325012,-0.22673604,-0.61673313,0.89530915,-0.10796398,0.22787084,-0.5424323,0.6958051,-0.009959564
111,22.990667,1025.1606,94.32297,0.5629072,-0.17103755,0.040717244,-0.0074837655,-0.05063075,0.73204154,-0.14921866,0.48084834,-0.27186105,-0.5886606,0.7593919,-0.1526793,0.32570943,-0.4981481,0.7978019,0.0808789
112,22.777018,999.1363,95.3348,0.46945596,-0.1613007,0.00043725967,-0.07225965,-0.06775507,0.66843957,-0.1729713,0.52566236,-0.22138381,-0.6003884,0.83808714,-0.118282765,0.25333387,-0.5213746,0.72109604,0.036222488
113,22.754786,989.1127,94.96725,0.43963403,-0.1567505,-0.027138233,-0.10227531,-0.0769223,0.64212865,-0.17724563,0.5349379,-0.20148596,-0.5967795,0.86245644,-0.11172488,0.22560385,-0.5290499,0.6872149,0.014009878
